COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_LAST_DOSE,PERSONS_LAST_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100,Unnamed: 16
Lebanon,LBN,EMRO,REPORTING,22/12/2022,5814699,2740227.0,85.0,40.0,2414223.0,35.0,,14/02/2021,,660249.0,10.0,
Liechtenstein,LIE,,REPORTING,,71104,26681.0,,,26346.0,,,,,18310.0,,
Sri Lanka,LKA,SEARO,REPORTING,30/10/2022,4.01E+07,17100000.0,187.0,80.0,14800000.0,69.0,,29/01/2021,,8220002.0,38.0,
China, Macao SAR,MAC,WPRO,REPORTING,,,,,,,,,,,,
Maldives,MDV,SEARO,REPORTING,25/05/2023,951764,399308.0,176.0,74.0,385167.0,71.0,,01/02/2021,,167289.0,31.0,
Myanmar,MMR,SEARO,REPORTING,21/08/2023,9.35E+07,41600000.0,172.0,76.0,35900000.0,66.0,,27/01/2021,,16000000.0,29.0,
Mongolia,MNG,WPRO,REPORTING,17/03/2023,5668144,2284018.0,173.0,70.0,2185282.0,67.0,,23/02/2021,,1058839.0,32.0,
New Caledonia,NCL,WPRO,REPORTING,03/04/2023,480497,192371.0,168.0,67.0,184801.0,65.0,,20/01/2021,,103325.0,36.0,
Niue,NIU,WPRO,REPORTING,04/03/2023,4923,1638.0,304.0,100.0,1635.0,100.0,,08/06/2021,,1225.0,76.0,
Nepal,NPL,SEARO,REPORTING,23/11/2023,6.26E+07,27900000.0,215.0,96.0,24500000.0,84.0,,27/01/2021,,10300000.0,35.0,
Nauru,NRU,WPRO,REPORTING,20/02/2023,32157,13106.0,297.0,100.0,11346.0,100.0,,09/04/2021,,7705.0,71.0,
New Zealand,NZL,WPRO,REPORTING,21/04/2023,1.23E+07,4259911.0,254.0,88.0,4096278.0,85.0,,19/02/2021,,2719283.0,56.0,
Oman,OMN,EMRO,REPORTING,25/10/2022,7108547,3279632.0,139.0,64.0,3048826.0,60.0,,29/12/2020,,779859.0,15.0,
Pakistan,PAK,EMRO,REPORTING,14/11/2023,3.41E+08,166000000.0,154.0,75.0,140000000.0,64.0,,03/02/2021,,53200000.0,24.0,
Philippines,PHL,WPRO,REPORTING,19/03/2023,1.89E+08,82700000.0,173.0,75.0,78400000.0,72.0,,01/03/2021,,23800000.0,22.0,
Palau,PLW,WPRO,REPORTING,10/03/2023,51032,20295.0,282.0,100.0,18278.0,100.0,,03/01/2021,,12885.0,71.0,
occupied Palestinian territory, including east Jerusalem,PSE,EMRO,REPORTING,18/10/2022,3748571.0,2012767.0,73.0,39.0,1776973.0,35.0,,02/02/2021,,336967.0,7.0
French Polynesia,PYF,WPRO,REPORTING,17/07/2023,493692,195688.0,176.0,70.0,195688.0,70.0,,18/01/2021,,102317.0,36.0,
Qatar,QAT,EMRO,REPORTING,07/05/2023,7609178,2852178.0,264.0,99.0,2852178.0,99.0,,,,1904822.0,66.0,
Saudi Arabia,SAU,EMRO,REPORTING,25/04/2023,6.85E+07,27000000.0,197.0,78.0,25400000.0,73.0,,06/01/2021,,16100000.0,46.0,
Singapore,SGP,WPRO,REPORTING,29/08/2023,1.53E+07,5287005.0,262.0,90.0,5248693.0,90.0,,30/12/2020,,4769158.0,82.0,
Saint Helena,SHN,,REPORTING,,,,,,,,,,,,,
Solomon Islands,SLB,WPRO,REPORTING,04/07/2023,612700,335796.0,89.0,49.0,254016.0,37.0,,23/03/2021,,27896.0,4.0,
Syrian Arab Republic,SYR,EMRO,REPORTING,18/04/2023,5090630,3295630.0,29.0,19.0,2358365.0,13.0,,01/04/2021,,75881.0,,
Thailand,THA,SEARO,REPORTING,01/09/2023,1.43E+08,57700000.0,204.0,83.0,54200000.0,78.0,,28/02/2021,,32100000.0,46.0,
Tokelau,TKL,WPRO,REPORTING,05/12/2022,6342,2203.0,470.0,100.0,2203.0,100.0,,20/07/2021,,968.0,72.0,
Timor-Leste,TLS,SEARO,REPORTING,22/11/2023,2028798,886838.0,154.0,67.0,801759.0,61.0,,07/04/2021,,340201.0,26.0,
Tonga,TON,WPRO,REPORTING,30/06/2023,204737,87375.0,194.0,83.0,77390.0,73.0,,14/04/2021,,38588.0,37.0,
Tuvalu,TUV,WPRO,REPORTING,01/02/2023,26783,9763.0,227.0,83.0,9505.0,81.0,,13/04/2021,,5745.0,49.0,
Taiwan, China,TWN,,REPORTING,,,,,,,,,,,,
Viet Nam,VNM,WPRO,REPORTING,30/06/2023,2.66E+08,90500000.0,274.0,93.0,86000000.0,88.0,,08/03/2021,,58000000.0,60.0,
Vanuatu,VUT,WPRO,REPORTING,20/02/2023,355430,176624.0,116.0,58.0,162250.0,53.0,,02/06/2021,,16556.0,5.0,
Wallis and Futuna,WLF,WPRO,REPORTING,23/01/2023,17303,7150.0,154.0,64.0,6803.0,60.0,,19/03/2021,,3350.0,30.0,
Samoa,WSM,WPRO,REPORTING,24/02/2023,453130,191403.0,228.0,96.0,177954.0,90.0,,18/04/2021,,82268.0,41.0,
