FIRE_NAME,FIRE_YEAR,SOURCE_REPORTING_UNIT_NAME,STAT_CAUSE_DESCR,FIRE_SIZE,LATITUDE,LONGITUDE,STATE
"ELK SPRING",1996,"Mescalero Agency",Miscellaneous,2500.0,33.0695,-105.6061,NM
"CHINO WELL",1996,"Mescalero Agency",Miscellaneous,8260.0,33.1723,-105.7283,NM
TELEPHONE,1999,"Mescalero Agency",Miscellaneous,2208.0,33.1334,-105.7339,NM
"""85""",1995,"Southern Pueblos Agency","Debris Burning",1000.0,34.8834,-106.7172,NM
GINGER,1995,"Southern Pueblos Agency","Debris Burning",2000.0,34.8834,-106.7006,NM
RIVER,1993,"Colorado River Agency","Debris Burning",1000.0,33.7834,-114.5175,AZ
"LOST LAKE",1995,"Colorado River Agency",Arson,2360.0,34.0,-114.4508,CA
POSTON,1995,"Colorado River Agency",Arson,1000.0,33.9334,-114.5175,AZ
WHITESPRG,1996,"Fort Apache Agency",Arson,4263.0,34.1848,-110.5185,AZ
RAINBOW,1999,"Fort Apache Agency",Arson,4382.6,33.8667,-109.9673,AZ
"OLD YELLOW",1992,"Pima Agency",Miscellaneous,1150.0,33.15,-112.1507,AZ
,1992,"Pima Agency",Miscellaneous,1000.0,33.2834,-111.9007,AZ
"SANTA CRUZ",1993,"Pima Agency",Miscellaneous,2250.0,33.2117,-112.1957,AZ
BUICK,1993,"Pima Agency",Arson,2500.0,33.1934,-111.834,AZ
TANNER,1993,"Pima Agency","Debris Burning",1800.0,33.1651,-111.989,AZ
MONTEZUMA,1995,"Pima Agency",Arson,6512.0,33.2509,-112.2193,AZ
CHUICHU#6,1992,"Papago Agency",Miscellaneous,2106.0,32.7001,-111.7674,AZ
CHUICHU02,1995,"Papago Agency",Lightning,4300.0,32.7834,-111.784,AZ
APRIL,1993,"San Carlos Agency",Miscellaneous,1000.0,32.9501,-110.617,AZ
LEO,1994,"San Carlos Agency","Equipment Use",1455.0,33.1667,-110.7007,AZ
CALVARY,1995,"San Carlos Agency","Debris Burning",1359.4,33.3601,-110.4907,AZ
BURDETTE,1995,"San Carlos Agency",Miscellaneous,3000.0,33.1867,-109.904,AZ
GREEN,1997,"San Carlos Agency",Lightning,1906.0,33.3867,-110.039,AZ
"BLUE RIVER",1998,"San Carlos Agency",Lightning,2500.0,33.4678,-110.2026,AZ
TOWERS-1,1994,"Truxton Canyon Agency",Lightning,10250.0,35.9869,-113.8727,AZ
LOST,1995,"Truxton Canyon Agency",Lightning,6687.0,35.785,-113.7858,AZ
MUD,1995,"Truxton Canyon Agency",Lightning,1280.0,35.5178,-113.5027,AZ
"SKULL CR",1994,"Sho-Pai Tribes",Lightning,1500.0,41.9166,-116.0509,NV
PETAN/DRY,1996,"Sho-Pai Tribes",Lightning,8740.0,41.8774,-116.3148,NV
"FBKS SW 66",1992,"Alaska Fire Service",Arson,1410.0,64.0163,-146.3023,AK
213225,1992,"Alaska Fire Service",Miscellaneous,48087.0,62.6497,-141.1855,AK
232266,1992,"Alaska Fire Service",Lightning,3390.0,66.5161,-155.736,AK
"BTT 3 48",1992,"Alaska Fire Service",Lightning,25600.0,66.1828,-152.386,AK
CEMWNW73,1992,"Alaska Fire Service",Lightning,3130.0,65.9163,-147.6692,AK
"CEM SW 50",1992,"Alaska Fire Service",Lightning,2840.0,65.3996,-146.6858,AK
"CEM NW 42",1992,"Alaska Fire Service",Lightning,4530.0,65.7163,-146.5025,AK
"CEM NW 45",1992,"Alaska Fire Service",Lightning,4570.0,65.7329,-146.6358,AK
232412,1992,"Alaska Fire Service",Lightning,1040.0,65.8997,-143.9025,AK
232414,1992,"Alaska Fire Service",Lightning,35090.0,67.3997,-144.636,AK
"FYU E 75",1992,"Alaska Fire Service",Lightning,2870.0,66.483,-142.2859,AK
304222,1993,"Alaska Fire Service",Lightning,23501.0,61.3159,-159.4857,AK
332229,1993,"Alaska Fire Service",Lightning,11250.0,62.816,-157.8024,AK
332248,1993,"Alaska Fire Service",Lightning,36250.0,65.7995,-149.7192,AK
"TAL SW 83",1993,"Alaska Fire Service",Lightning,5180.0,63.9828,-153.669,AK
332262,1993,"Alaska Fire Service",Lightning,1030.0,65.6663,-145.2691,AK
"TAL S 54",1993,"Alaska Fire Service",Lightning,1190.0,64.2995,-151.7191,AK
3322292,1993,"Alaska Fire Service",Lightning,47494.0,66.1164,-142.8692,AK
"MHM SE 16",1993,"Alaska Fire Service",Lightning,2200.0,63.5995,-152.1023,AK
CEMSE34,1993,"Alaska Fire Service",Lightning,21210.0,65.2663,-143.6357,AK
"TAL N 25",1993,"Alaska Fire Service",Lightning,26200.0,65.5662,-151.8859,AK
"CEMWNW 93",1993,"Alaska Fire Service",Lightning,2037.0,65.8829,-148.4859,AK
"DCKN 178",1993,"Alaska Fire Service",Lightning,16740.0,69.7828,-158.3699,AK
"EAA NW 50",1993,"Alaska Fire Service",Lightning,2250.0,65.4997,-141.7691,AK
304536,1993,"Alaska Fire Service",Lightning,28010.0,61.766,-155.9357,AK
332554,1993,"Alaska Fire Service",Lightning,10723.0,66.583,-146.2026,AK
332557,1993,"Alaska Fire Service",Lightning,215360.0,65.8997,-143.6358,AK
331568,1993,"Alaska Fire Service",Lightning,1290.0,65.3163,-145.9025,AK
"FYUN 60",1993,"Alaska Fire Service",Lightning,20942.0,67.4497,-144.0694,AK
"TAL S 27",1993,"Alaska Fire Service",Lightning,7870.0,64.7328,-152.3191,AK
331573,1993,"Alaska Fire Service",Lightning,5810.0,67.1663,-147.8194,AK
331582,1993,"Alaska Fire Service",Lightning,7200.0,64.7662,-151.2691,AK
331585,1993,"Alaska Fire Service",Lightning,5530.0,64.1997,-141.0856,AK
CEMW62,1993,"Alaska Fire Service",Lightning,4470.0,65.8329,-147.4025,AK
"FYUSE 35",1993,"Alaska Fire Service",Lightning,3344.0,66.0663,-145.5859,AK
304632,1993,"Alaska Fire Service",Lightning,11550.0,61.4326,-159.919,AK
331639,1993,"Alaska Fire Service",Lightning,3410.0,64.2494,-157.6358,AK
313641,1993,"Alaska Fire Service",Lightning,4100.0,62.7163,-142.2022,AK
331653,1993,"Alaska Fire Service",Lightning,4800.0,64.0994,-157.1358,AK
332663,1993,"Alaska Fire Service",Lightning,3200.0,63.4828,-152.7356,AK
331662,1993,"Alaska Fire Service",Lightning,3300.0,64.166,-156.8358,AK
DCKN190,1993,"Alaska Fire Service",Lightning,82370.0,69.8495,-159.2199,AK
UNKE29,1993,"Alaska Fire Service",Lightning,2370.0,63.816,-159.6858,AK
CEMNE62,1993,"Alaska Fire Service",Lightning,5960.0,65.6997,-142.2691,AK
331688,1993,"Alaska Fire Service",Lightning,1280.0,64.0827,-157.1858,AK
UNKESE31,1993,"Alaska Fire Service",Lightning,1610.0,63.6826,-159.8191,AK
"TAL S 27",1994,"Alaska Fire Service",Lightning,6520.0,64.7328,-152.5691,AK
"BTT S 49",1994,"Alaska Fire Service",Lightning,8240.2,66.0828,-151.536,AK
"DCK SW 50",1994,"Alaska Fire Service",Lightning,12000.0,66.2161,-157.6193,AK
"BTT NE 26",1994,"Alaska Fire Service",Lightning,6219.0,67.1329,-150.5527,AK
432222,1994,"Alaska Fire Service",Lightning,2270.0,63.366,-157.3191,AK
432225,1994,"Alaska Fire Service",Lightning,14000.0,65.8328,-155.6526,AK
"GAL SW 94",1994,"Alaska Fire Service",Lightning,5650.0,63.3327,-158.4191,AK
"TAL NE 33",1994,"Alaska Fire Service",Lightning,16300.0,65.6162,-151.3692,AK
"BTT SSW 55",1994,"Alaska Fire Service",Lightning,1984.0,66.1328,-152.486,AK
"GAL NW 58",1994,"Alaska Fire Service",Lightning,1500.0,65.6661,-157.6526,AK
"TAL SW 46",1994,"Alaska Fire Service",Lightning,1309.0,65.1328,-153.8359,AK
432250,1994,"Alaska Fire Service",Lightning,1090.0,65.7827,-159.786,AK
432258,1994,"Alaska Fire Service",Lightning,1650.0,67.0327,-159.7861,AK
"GAL NE 35",1994,"Alaska Fire Service",Lightning,1970.0,65.0994,-155.8192,AK
"OTZ NW 70",1994,"Alaska Fire Service",Lightning,2280.0,68.016,-162.1696,AK
432270,1994,"Alaska Fire Service",Lightning,1270.0,67.8661,-160.7029,AK
404274,1994,"Alaska Fire Service",Lightning,3440.0,61.5827,-155.419,AK
404275,1994,"Alaska Fire Service",Lightning,43329.7,62.7827,-155.419,AK
431299,1994,"Alaska Fire Service",Lightning,3710.0,65.1995,-150.6192,AK
"GAL NE 38",1994,"Alaska Fire Service",Lightning,3680.0,65.0327,-155.5192,AK
"TAL SW 45",1994,"Alaska Fire Service",Lightning,1700.0,64.8328,-153.5191,AK
404307,1994,"Alaska Fire Service",Lightning,4130.0,61.716,-155.5523,AK
412312,1994,"Alaska Fire Service",Lightning,22420.0,63.8329,-145.2856,AK
413330,1994,"Alaska Fire Service",Lightning,8045.0,62.5663,-142.3355,AK
"FYU W 35",1994,"Alaska Fire Service",Lightning,13800.0,66.5996,-146.7693,AK
"FYU W 56",1994,"Alaska Fire Service",Lightning,2700.0,66.7663,-147.586,AK
"FYU E 76",1994,"Alaska Fire Service",Lightning,30600.0,66.5497,-142.0526,AK
431522,1994,"Alaska Fire Service",Lightning,1000.0,64.1497,-141.6523,AK
431535,1994,"Alaska Fire Service",Lightning,4250.0,65.2663,-146.0358,AK
413547,1994,"Alaska Fire Service",Lightning,9050.0,63.1997,-141.5355,AK
"EAA SW 20",1994,"Alaska Fire Service",Lightning,2400.0,64.4663,-141.5356,AK
432563,1994,"Alaska Fire Service",Lightning,1140.0,64.433,-142.419,AK
532148,1995,"Alaska Fire Service",Lightning,1500.0,65.3495,-152.3859,AK
"MHM NW 42",1995,"Alaska Fire Service",Lightning,1320.0,64.1328,-153.8191,AK
502296,1995,"Alaska Fire Service",Lightning,1060.0,62.4996,-144.7188,AK
532370,1995,"Alaska Fire Service",Lightning,6060.0,66.3661,-154.7526,AK
"GAL NE 76",1995,"Alaska Fire Service",Lightning,2780.0,65.8328,-155.3693,AK
"LIV E 19",1995,"Alaska Fire Service",Lightning,8500.0,65.3329,-147.8025,AK
HILLBILLY,1996,"Alaska Fire Service",Arson,14200.0,63.9543,-146.5323,AK
603158,1996,"Alaska Fire Service",Smoking,1200.0,58.2159,-152.5188,AK
603159,1996,"Alaska Fire Service",Smoking,5200.0,60.4494,-150.2188,AK
"631305 STE",1996,"Alaska Fire Service",Lightning,4000.0,65.3256,-150.8758,AK
632321,1996,"Alaska Fire Service",Arson,66560.0,63.9399,-146.369,AK
601351MILL,1996,"Alaska Fire Service",Fireworks,37336.0,61.6161,-149.8522,AK
631360,1996,"Alaska Fire Service","Debris Burning",12760.0,65.5663,-144.9025,AK
603411,1996,"Alaska Fire Service","Debris Burning",17510.0,60.0994,-151.2022,AK
OBSERVATIO,1996,"Alaska Fire Service",Arson,2000.0,64.0329,-146.2857,AK
613415,1996,"Alaska Fire Service","Debris Burning",6710.0,63.2497,-142.4189,AK
"WINDY CREE",1996,"Alaska Fire Service",Lightning,10331.0,65.5996,-147.5525,AK
631459,1996,"Alaska Fire Service",Lightning,39116.0,65.5422,-144.0344,AK
"631460  BI",1996,"Alaska Fire Service",Lightning,48600.0,66.3361,-143.6359,AK
604463,1996,"Alaska Fire Service",Lightning,4200.0,62.266,-157.5691,AK
632469,1996,"Alaska Fire Service",Lightning,25433.0,64.2661,-151.3524,AK
632472,1996,"Alaska Fire Service",Lightning,5630.0,65.8451,-148.9328,AK
"HARD LUCK",1996,"Alaska Fire Service",Lightning,2230.0,65.1236,-141.0924,AK
631478,1996,"Alaska Fire Service",Lightning,1121.0,65.4163,-145.7025,AK
"FROZEN CAL",1996,"Alaska Fire Service",Lightning,1830.0,66.7997,-143.086,AK
632482,1996,"Alaska Fire Service",Lightning,59063.0,64.8661,-151.9197,AK
HADOLITNA,1996,"Alaska Fire Service",Lightning,1250.0,66.2025,-154.4526,AK
"SLED ROADS",1996,"Alaska Fire Service",Lightning,4000.0,63.8828,-151.3023,AK
HOCHANDOCT,1996,"Alaska Fire Service",Lightning,4220.0,65.5386,-154.7043,AK
"CIRC MOUNT",1996,"Alaska Fire Service",Lightning,34665.0,65.7499,-143.9858,AK
"DAVID CREE",1996,"Alaska Fire Service",Lightning,4690.0,67.0864,-141.866,AK
SETHKOKNA,1996,"Alaska Fire Service",Lightning,5800.0,63.8208,-153.5868,AK
"GAL NW 63",1996,"Alaska Fire Service",Lightning,1120.0,65.4994,-158.6359,AK
"TITNA RIVE",1996,"Alaska Fire Service",Lightning,2650.0,64.3261,-153.1613,AK
"DEADMAN IS",1996,"Alaska Fire Service",Lightning,33490.0,66.5663,-146.486,AK
"42 MILE CR",1996,"Alaska Fire Service",Lightning,41410.0,66.7663,-147.9527,AK
"YELLOW CRE",1996,"Alaska Fire Service",Lightning,9680.0,65.7299,-146.7033,AK
632521,1996,"Alaska Fire Service",Lightning,22665.9,66.538,-143.5293,AK
"631588 ANT",1996,"Alaska Fire Service",Lightning,9300.0,64.3261,-155.0382,AK
"WLK SE 40",1996,"Alaska Fire Service",Lightning,2600.0,66.1966,-158.8694,AK
"WLK SE 39",1996,"Alaska Fire Service",Lightning,1070.0,66.2161,-157.4027,AK
"SLENDER SM",1996,"Alaska Fire Service",Lightning,39660.0,65.9496,-146.6859,AK
603749,1996,"Alaska Fire Service",Campfire,3250.0,57.5493,-154.1523,AK
"MOSER BAY",1997,"Alaska Fire Service",Miscellaneous,14100.0,57.0159,-154.2523,AK
"DR. BEAVER",1997,"Alaska Fire Service",Lightning,20700.0,63.621,-156.946,AK
"SIMELS 732",1997,"Alaska Fire Service",Lightning,365871.0,63.566,-157.2024,AK
"KOKHILA HI",1997,"Alaska Fire Service",Lightning,36400.0,66.4328,-155.086,AK
MAGITCHLIE,1997,"Alaska Fire Service",Lightning,308120.0,63.6327,-158.4191,AK
OKLAHOMA,1997,"Alaska Fire Service",Lightning,2500.0,64.0329,-146.3357,AK
"MUD FIRE 7",1997,"Alaska Fire Service",Lightning,24185.0,67.0829,-151.186,AK
TOUGH/7043,1997,"Alaska Fire Service",Lightning,3060.0,61.4327,-154.969,AK
TVATIVAK/7,1997,"Alaska Fire Service",Lightning,2450.0,58.8159,-159.3855,AK
"KLUT CK/70",1997,"Alaska Fire Service",Lightning,1000.0,59.3993,-157.5355,AK
INOWAK,1997,"Alaska Fire Service",Lightning,606945.0,61.9827,-157.0857,AK
"HAWK RIVER",1997,"Alaska Fire Service",Lightning,8640.0,62.3409,-161.0024,AK
"GEORGE RIV",1997,"Alaska Fire Service",Lightning,101820.0,62.2993,-157.2024,AK
TRAIL,1997,"Alaska Fire Service",Lightning,15500.0,62.4326,-157.1691,AK
"SLIPPERY C",1997,"Alaska Fire Service",Lightning,1405.0,63.5495,-151.5523,AK
"CAMP LAKE/",1997,"Alaska Fire Service",Lightning,3000.0,63.633,-143.4689,AK
"HESS CREEK",1997,"Alaska Fire Service",Lightning,1360.0,65.6865,-149.2817,AK
FORAKER,1997,"Alaska Fire Service",Lightning,4220.0,63.3328,-151.8023,AK
"BITTERS CK",1997,"Alaska Fire Service",Lightning,1115.0,63.1497,-142.0022,AK
"REED RIVER",1997,"Alaska Fire Service",Lightning,4395.0,67.0662,-154.8027,AK
"BIG CREEK",1997,"Alaska Fire Service",Lightning,44050.0,66.1525,-143.3442,AK
ROKETALOI,1997,"Alaska Fire Service",Lightning,35490.0,63.8993,-158.3024,AK
"LOCKWOOD 7",1997,"Alaska Fire Service",Lightning,6860.0,66.6789,-155.2027,AK
BREAST/704,1997,"Alaska Fire Service",Lightning,6430.0,60.1826,-160.1523,AK
"BEAR FIRE",1997,"Alaska Fire Service",Lightning,1230.0,63.9542,-150.9768,AK
SHEKLUKSHU,1997,"Alaska Fire Service",Lightning,1000.0,66.65,-157.3705,AK
OSKAWALIK/,1997,"Alaska Fire Service",Lightning,2470.0,61.6993,-158.1857,AK
CHINIKLIK,1997,"Alaska Fire Service",Lightning,3283.0,61.9326,-161.119,AK
"MANY LAKES",1997,"Alaska Fire Service",Lightning,47300.0,61.7659,-159.5857,AK
"PEACE RIVE",1997,"Alaska Fire Service",Lightning,3200.0,65.216,-161.4526,AK
PAIMIUT,1997,"Alaska Fire Service",Lightning,2468.0,61.9993,-160.3857,AK
704629,1997,"Alaska Fire Service",Lightning,37900.0,62.316,-158.6858,AK
SOONKAKAT,1997,"Alaska Fire Service",Lightning,3070.0,64.616,-157.5858,AK
"CARLA LAKE",1998,"Alaska Fire Service",Lightning,53720.0,63.9885,-146.069,AK
"SLOW FORK",1998,"Alaska Fire Service",Lightning,21800.0,63.3328,-153.619,AK
"DONNELLY F",1999,"Alaska Fire Service",Arson,18720.0,63.8163,-145.669,AK
HODZANA,1999,"Alaska Fire Service",Lightning,4380.0,66.5329,-149.8026,AK
DENNISON,1999,"Alaska Fire Service",Lightning,6891.0,63.583,-142.4689,AK
"BEAR CREEK",1999,"Alaska Fire Service",Lightning,5803.0,65.4663,-146.8692,AK
BEVERLY,1999,"Alaska Fire Service",Lightning,18521.0,64.9663,-143.569,AK
UPPERWESTF,1999,"Alaska Fire Service",Lightning,35874.0,63.583,-142.6522,AK
WITCH,1999,"Alaska Fire Service",Lightning,46956.0,65.283,-141.9357,AK
"INDIAN GRA",1999,"Alaska Fire Service",Lightning,1734.0,65.5664,-141.2358,AK
KINK,1999,"Alaska Fire Service",Lightning,92010.0,64.3663,-142.069,AK
MINTO,1999,"Alaska Fire Service","Debris Burning",3876.0,65.1495,-149.3691,AK
JESSICA,1999,"Alaska Fire Service",Lightning,48759.0,65.1647,-141.2138,AK
PINGO,1999,"Alaska Fire Service",Lightning,38174.0,65.615,-141.7269,AK
KOCACHO,1999,"Alaska Fire Service",Lightning,3747.0,67.283,-146.136,AK
"BEAVER CRE",1999,"Alaska Fire Service",Lightning,13214.0,65.7515,-147.1031,AK
BIRCH,1999,"Alaska Fire Service",Lightning,20100.0,65.2996,-144.7858,AK
TETTHAJIK,1999,"Alaska Fire Service",Lightning,9421.0,66.6831,-141.4121,AK
"WOOD RIVER",1999,"Alaska Fire Service",Lightning,7736.0,65.9664,-141.9192,AK
"SALMON TR",1999,"Alaska Fire Service",Lightning,2400.0,67.0431,-141.1293,AK
KEVINJIK,1999,"Alaska Fire Service",Lightning,232828.0,66.7925,-142.2407,AK
UVGOON2,1999,"Alaska Fire Service",Lightning,88345.0,67.816,-162.4362,AK
"MELOZI MOR",1999,"Alaska Fire Service",Lightning,59239.0,65.5928,-153.517,AK
"BIG CREEK",1999,"Alaska Fire Service",Lightning,28634.0,65.2994,-154.6859,AK
MARSHALL,1999,"Alaska Fire Service",Lightning,21643.0,65.4495,-150.4525,AK
TOLOVANA,1999,"Alaska Fire Service",Lightning,17986.0,65.5496,-147.9858,AK
"PAH FLATS",1999,"Alaska Fire Service",Lightning,6183.0,66.5328,-156.1693,AK
ROUNDABOUT,1999,"Alaska Fire Service",Lightning,5763.0,65.5827,-156.4692,AK
"SIRUK CREE",1999,"Alaska Fire Service",Lightning,3132.0,66.7062,-153.8443,AK
"HOG HEAD",1999,"Alaska Fire Service",Lightning,2140.0,66.7662,-153.9027,AK
"FT HAMLIN",1999,"Alaska Fire Service",Lightning,5184.0,66.0495,-149.9526,AK
KILIOVILIK,1999,"Alaska Fire Service",Lightning,2061.0,66.6161,-157.2527,AK
"GRAND CREE",1999,"Alaska Fire Service",Lightning,2698.0,64.62,-153.7075,AK
"ROUND LAKE",1999,"Alaska Fire Service",Lightning,1333.0,64.6478,-153.8514,AK
"N FORK DAG",1999,"Alaska Fire Service",Lightning,3348.0,65.6998,-152.1354,AK
"GUKHZENA C",1999,"Alaska Fire Service",Lightning,1640.0,66.5328,-154.5526,AK
GLACIER,1999,"Alaska Fire Service",Lightning,2342.0,65.8829,-146.5025,AK
"CEDAR WASH",1993,"Arizona Strip Field Office",Lightning,7406.6,36.5166,-113.9508,AZ
PAKOON,1993,"Arizona Strip Field Office",Lightning,1125.0,36.55,-113.8008,AZ
COTTONWOOD,1993,"Arizona Strip Field Office",Lightning,2152.5,36.5333,-113.9675,AZ
COTTONWOOD,1994,"Arizona Strip Field Office",Lightning,1183.0,36.55,-113.9341,AZ
"MUD MTN",1995,"Arizona Strip Field Office",Lightning,3759.0,36.5833,-113.8008,AZ
NEVERSHINE,1995,"Arizona Strip Field Office",Lightning,5034.0,36.2,-113.8508,AZ
SAVANIC,1995,"Arizona Strip Field Office",Lightning,2872.0,36.25,-113.7341,AZ
TANK,1995,"Arizona Strip Field Office",Lightning,2461.0,36.4,-113.8508,AZ
TASTEFULL,1995,"Arizona Strip Field Office",Lightning,8682.0,36.5833,-113.9008,AZ
DUTCHMAN,1995,"Arizona Strip Field Office",Lightning,2834.0,36.7666,-113.4508,AZ
JACOBSWELL,1995,"Arizona Strip Field Office",Lightning,1751.0,36.65,-113.8841,AZ
ONEWAYPASS,1996,"Arizona Strip Field Office",Lightning,1289.0,36.5833,-113.6175,AZ
JUMPSPRING,1999,"Arizona Strip Field Office",Lightning,16816.0,36.5928,-113.7352,AZ
"MT EMMA",1999,"Arizona Strip Field Office",Lightning,1350.0,36.2966,-113.1644,AZ
LIMEHILLS,1999,"Arizona Strip Field Office",Lightning,1411.0,36.9239,-113.7352,AZ
SANTACLAUS,1993,"Phoenix District Office",Miscellaneous,1780.0,35.35,-114.3175,AZ
KINGMAN,1993,"Phoenix District Office",Railroad,1000.0,35.1667,-114.0841,AZ
HAQUAHALA,1993,"Phoenix District Office",Lightning,4824.0,33.8334,-113.3174,AZ
MINE,1993,"Phoenix District Office",Lightning,1497.0,35.3833,-114.3508,AZ
JUNCTION,1993,"Phoenix District Office",Lightning,1668.0,35.35,-114.2675,AZ
DOLAN,1994,"Phoenix District Office",Miscellaneous,1410.0,35.4167,-114.4341,AZ
MCKENZIE,1994,"Phoenix District Office",Lightning,1053.0,34.8833,-113.9174,AZ
COYOTE,1994,"Phoenix District Office",Lightning,3887.0,35.6833,-114.2175,AZ
PERKINS,1994,"Phoenix District Office",Lightning,21276.0,35.5667,-114.4675,AZ
JURASSIC,1994,"Phoenix District Office",Lightning,1932.0,35.2667,-114.3008,AZ
DIXIE,1994,"Phoenix District Office",Lightning,1470.0,35.4667,-114.4508,AZ
WARM,1994,"Phoenix District Office",Lightning,5000.0,34.9167,-114.2508,AZ
WHITEHILLS,1994,"Phoenix District Office",Lightning,1200.0,35.7,-114.0008,AZ
STOVE,1995,"Phoenix District Office",Miscellaneous,9380.0,34.75,-113.7674,AZ
WHITECANYO,1995,"Phoenix District Office",Miscellaneous,5471.0,33.102,-111.1354,AZ
TOWERII,1995,"Phoenix District Office",Lightning,6445.0,36.0167,-113.9841,AZ
SENATORII,1995,"Phoenix District Office",Lightning,3800.0,35.8,-114.3175,AZ
UNION,1995,"Phoenix District Office",Smoking,2000.0,35.1667,-114.3175,AZ
NEWWATER,1995,"Phoenix District Office",Lightning,1400.0,36.0,-113.9675,AZ
JOESHILL,1995,"Phoenix District Office",Lightning,6000.0,34.2,-112.034,AZ
OLDBALDY,1995,"Phoenix District Office",Lightning,1730.0,33.1889,-110.8346,AZ
"111 RANCH",1993,"Safford Field Office",Miscellaneous,6185.0,32.7001,-109.2006,AZ
JACKSONMTN,1993,"Safford Field Office",Lightning,1200.0,32.8334,-110.234,AZ
"SWISS HELM",1994,"Safford Field Office",Lightning,3297.0,31.6668,-109.5173,AZ
HERFORD,1999,"Safford Field Office",Miscellaneous,1013.0,31.4337,-110.10412,AZ
WALTERS,1992,"Yuma Field Office","Debris Burning",1800.0,33.2334,-114.7008,CA
"CA CHNL 2",1992,"Yuma Field Office",Fireworks,1285.0,32.95,-114.4674,AZ
"BLACK MESA",1994,"Yuma Field Office",Lightning,1300.0,34.51,-114.0641,AZ
ICEHOUSE,1995,"Yuma Field Office",Children,3408.0,34.8389,-114.5458,AZ
HARCUVAR,1999,"Yuma Field Office",Lightning,15980.0,34.06067,-113.4233,AZ
ARRASTRA,1999,"Yuma Field Office",Miscellaneous,2400.0,34.5681,-114.2025,AZ
"TEJON 2",1992,"Bakersfield District",Lightning,1000.0,35.0166,-118.7676,CA
HUNTER,1992,"Bakersfield District","Equipment Use",1350.0,37.6166,-120.2177,CA
JOLON,1992,"Bakersfield District",Arson,1625.0,35.9166,-120.9677,CA
MOCCASIN,1992,"Bakersfield District",Campfire,8000.0,37.8166,-120.3344,CA
MID0RIDGE,1992,"Bakersfield District","Equipment Use",7530.0,35.0833,-118.7509,CA
SABODAN,1993,"Bakersfield District",Miscellaneous,3000.0,35.0,-119.0176,CA
"ROUND MTN",1993,"Bakersfield District","Equipment Use",1000.0,35.5,-118.8843,CA
"ELK HILLS2",1993,"Bakersfield District",Powerline,7100.0,35.2666,-119.5843,CA
"PGE 13",1993,"Bakersfield District",Miscellaneous,1800.0,36.05,-120.1343,CA
METZ,1993,"Bakersfield District","Equipment Use",1513.0,36.4333,-121.2344,CA
PIXLEY,1993,"Bakersfield District","Debris Burning",1560.0,35.9333,-119.3509,CA
ORCHARD,1993,"Bakersfield District",Lightning,16000.0,35.7333,-120.151,CA
VALLEY,1993,"Bakersfield District",Arson,2260.0,35.25,-119.501,CA
RANCHO,1993,"Bakersfield District","Equipment Use",6000.0,36.3166,-121.4844,CA
SMOOT,1994,"Bakersfield District",Powerline,3000.0,35.4833,-118.9509,CA
SODA,1994,"Bakersfield District","Equipment Use",3380.0,35.2166,-119.8843,CA
OIL,1994,"Bakersfield District",Arson,1200.0,35.3666,-118.8509,CA
BRECKENRDG,1994,"Bakersfield District",Arson,3100.0,35.35,-118.9009,CA
YORK,1994,"Bakersfield District",Miscellaneous,1120.0,35.85,-120.1676,CA
LAKELAND,1994,"Bakersfield District",Children,2426.0,35.6333,-118.4509,CA
WHITEBLNKT,1994,"Bakersfield District",Miscellaneous,2505.0,35.7166,-118.1676,CA
ALISO,1994,"Bakersfield District",Smoking,3429.0,34.95,-119.7343,CA
"HWY 41",1994,"Bakersfield District",Arson,48851.0,35.4333,-120.7343,CA
SPANISH,1994,"Bakersfield District","Debris Burning",2100.0,34.9833,-120.0035,CA
WYLE,1994,"Bakersfield District","Debris Burning",1205.0,37.1499,-119.5343,CA
NEES,1995,"Bakersfield District","Equipment Use",1820.0,36.8499,-120.7844,CA
SHERWOOD,1995,"Bakersfield District",Powerline,1000.0,35.6333,-119.0676,CA
46,1995,"Bakersfield District",Powerline,7495.0,35.6166,-119.7676,CA
DEVILSDEN,1995,"Bakersfield District","Debris Burning",1100.0,35.7,-119.9343,CA
ELK,1995,"Bakersfield District",Powerline,1837.0,35.0333,-119.501,CA
PEORIA,1995,"Bakersfield District",Powerline,3212.0,37.9333,-120.5344,CA
GILBREATH,1995,"Bakersfield District",Arson,2000.0,35.6833,-119.5843,CA
MIDWAY,1995,"Bakersfield District",Arson,8845.0,35.2833,-119.5176,CA
HONOLULU,1995,"Bakersfield District",Arson,1430.0,35.2666,-119.5343,CA
PANOCHE,1996,"Bakersfield District",Powerline,2000.0,36.6333,-120.6843,CA
SKYLINE,1996,"Bakersfield District",Powerline,19839.0,36.0333,-120.101,CA
"PANOCHE II",1996,"Bakersfield District",Powerline,18340.0,36.6166,-120.6677,CA
"HWY 41",1996,"Bakersfield District",Arson,3100.0,35.9166,-120.9177,CA
OVERLOOK,1996,"Bakersfield District","Debris Burning",2220.0,35.2166,-119.901,CA
"HWY 33 II",1996,"Bakersfield District",Arson,4000.0,35.8166,-120.0093,CA
"7 MILE",1996,"Bakersfield District","Equipment Use",2690.0,35.3333,-119.8843,CA
"MESA CMPLX",1996,"Bakersfield District",Arson,4500.0,35.4333,-118.9176,CA
"ROUND MTN",1996,"Bakersfield District",Smoking,2880.0,35.5,-118.9009,CA
MERCY,1996,"Bakersfield District","Equipment Use",16820.0,36.9166,-120.7344,CA
